WKT;route_short_name;route_long_name;direction_id;trip_headsign;headsign;trip_id;stop_sequence;stop_name
"MULTIPOINT (-118.4675074 34.0438416)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;20;Wilshire Eb & Bundy Ns
"MULTIPOINT (-118.465254 34.0457623)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;21;Wilshire Eb & Brockton Ns
"MULTIPOINT (-118.465254 34.0457623)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;21;Wilshire Eb & Brockton Ns
"MULTIPOINT (-118.4635674 34.047209)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;22;Wilshire Eb & Westgate Ns
"MULTIPOINT (-118.4635674 34.047209)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;22;Wilshire Eb & Westgate Ns
"MULTIPOINT (-118.4610513 34.0492064)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;23;Wilshire Eb & Barrington Ns
"MULTIPOINT (-118.4610513 34.0492064)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;23;Wilshire Eb & Barrington Ns
"MULTIPOINT (-118.4595215 34.0506806)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;24;Wilshire Eb & Federal Ns
"MULTIPOINT (-118.4595215 34.0506806)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;24;Wilshire Eb & Federal Ns
"MULTIPOINT (-118.4553495 34.0542414)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;25;Wilshire Eb & Bonsall Fs
